epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,211.601,0.53524,0.3766,1.23468,0.99784,0.99007,0.995,0.80854,0.80005,0.38587,1.43731,0.000272471,0.000272471,0.000272471
171,212.539,0.56138,0.39419,1.28745,0.99784,0.99007,0.995,0.80854,0.80005,0.38587,1.43731,0.00026422,0.00026422,0.00026422
172,213.68,0.5204,0.38391,1.1992,0.99787,0.98977,0.995,0.80436,0.81476,0.39188,1.43502,0.000255968,0.000255968,0.000255968
173,214.728,0.54613,0.37782,1.17327,0.99787,0.98977,0.995,0.80436,0.81476,0.39188,1.43502,0.000247716,0.000247716,0.000247716
174,215.893,0.5657,0.38526,1.25179,0.9979,0.99002,0.995,0.80541,0.81953,0.39323,1.43476,0.000239465,0.000239465,0.000239465
175,217.182,0.5384,0.37979,1.256,0.9979,0.99002,0.995,0.80541,0.81953,0.39323,1.43476,0.000231213,0.000231213,0.000231213
176,218.724,0.54971,0.38725,1.23006,0.99789,0.99106,0.995,0.80919,0.81382,0.39528,1.43339,0.000222961,0.000222961,0.000222961
177,220.41,0.51493,0.37257,1.2184,0.99789,0.99106,0.995,0.80919,0.81382,0.39528,1.43339,0.00021471,0.00021471,0.00021471
178,221.565,0.55973,0.41134,1.34499,0.99788,0.99167,0.995,0.80994,0.80615,0.39624,1.43201,0.000206458,0.000206458,0.000206458
179,222.649,0.5412,0.38367,1.24537,0.99788,0.99167,0.995,0.80994,0.80615,0.39624,1.43201,0.000198206,0.000198206,0.000198206
